"","identifier","text"
"87","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.3.4","fio autem cum hic latus semilateria qui cum struo unus pars latus ordo alter semilater pono ergo ex uter pars ad lineus cum struo alternus corius paries alligo et medius later supra coagmento con-loco et firmitas et species facio uter pars non invenustus sum autem in hispania ulterior civitas maxilua et calleo et in asia pitane ubi later cum sum duco et arefacio proicio nato in aqua nato autem is possum ideo video qui terra sum de qui duco pumicosus ito cum sum levis aer solido non recipio in sui neque combibo liquor igitur levis rarus cum sum proprietas quicumque pondus sum cogo ab res natura quemadmodum pumex utor ab aqua sustineo sic autem magnus habeo utilitas qui neque in aedificatio sum onerosus et cum non patior penetro in corpus umidus potestas ab tempestas non dissolvo"
"88","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.4.1","in caementicius autem struo primus sum de harena quaero ut is sum idoneus ad materio misceo neque habeo terra commisceo genus autem harena fossicius sum hic nigro canus rubra carbunculus ex hic qui in manus confrico facio stridor sum bonus qui autem terrosus sum non habeo asperitas ito si in vestimentum candidus is conicio sum postea excutio vel jacio is non inquino neque ibi terra subsiderit sum idoneus"
"89","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.4.2","si autem non sum harenarium unde fodio tum de flumen aut ex glarea sum excerno non parvus etiam de litus marinus sed is in struo hic habeo vitium difficulter siccesco neque onero sui contineo pario patior nitor intermissio requiesco neque concameratio recipio marinus autem hic amplus qui etiam paries cum in is tectorius facio sum remitto sui salsugo is dissolvo"
"90","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.4.3","fossicius verus celeriter in struo siccesco et tectorius permaneo et concameratio patior sed is qui sum de harenarius recens si enim eximo diu jaceo ab sol et luna et pruina concoquo resolvo et fio terrosus ito cum in struo co-jacio non possum contineo caementum sed is ruo et labor onus paries non possum sustineo recens autem fossicius cum in struo tantus habeo virtus is in tectorium ideo non sum utilis qui pinguitudo is calx commisceo propter vehementia non possum sinum rima inaresco fluviaticus verus propter macritas utor signinum liaculorum subactio in tectorius recipio soliditas"
"91","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.5.1","de harena copia cum habeo explicate tum etiam de calcis diligens sum adhibeo utor de albus saxum aut silex coquo et qui sum ex spissus et durus sum utilis in struo qui autem ex fistulosus in tectorium cum is sum ex-tingo tunc materio ito misceo ut si sum fossicius tres harena et unus calcis infundo si autem fluviaticus aut marinus duo harena unus calcis co-jacio ito enim sum justus ratio mixtionis tempero etiam in fluviaticus aut marinus si qui testa tundo et succerno ex tertius pars adicio efficio materia tempero ad utor bonus"
"92","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.5.2","quare autem cum recipio aqua et harena calx tunc confirmo struo hic sum causa video qui ex principium utor ceter corpus ito et saxum sum tempero et qui multus habeo aer sum tener qui aqua lentus sum ab umor qui terra durus qui ignis fragilis ito ex hic saxum si antequam coquo contundo minuo misceo harena in struo co-jacio non solidesco neque is possum contineo cum verus conicio in fornacem ignis vehemens fervor corripio amitto pristinus soliditas virtus tunc exuro atque exhaurio is vis relinquo pateo foramen et inanis"
"93","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.5.3","ideo autem qui pondus saxum co-jacio in fornacem cum eximo non possum ad is respondeo sed cum expendo permaneo is magnitudo excoquo liquor circiter tertius pars pondus imminutus sum invenio ergo liquor qui sum in is lapis corpus et aer cum exuro et eripio sum habeo in sui residuus calor lateo prior qui ex ignis vis recipio intingo in aqua umor penetro in foramen raritas confervesco et ito refrigero reicio ex calcis corpus fervor igitur cum pateo foramen is et raritas harena mixtionem in sui corripio et ito cohaeresco siccesco cum caementum coeo et efficio struo soliditas"
"94","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.1","sum etiam genus pulvis qui efficio naturalis res admiror nascor in regio baianis in ager municipium qui sum circo vesuvium mons qui commisceo cum calcis et caementum non modus ceterus aedificium praesto firmitas sed etiam molo cum struo in marum sub aqua solidesco hic autem fio hic ratio video qui sub hic mons et terra fervo sum et fons creber qui non sum si non in imus habeo aut ex sulfur aut alumen aut bitumen ardeo magnus ignis igitur penitus ignis et flamma vapor per intervenium permano et ardeo efficio levis is terra et ibi qui nascor tofus exsurgo sum sinum liquor ergo cum tres res consimilis ratio ignis vehemens foro in unus pervenio mixtionem repo recipio liquor unus cohaeresco et celeriter umor duro solido neque is fluctus neque vis aqua possum dissolvo"
"95","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.2","ardor autem sum in hic locus etiam hic res possum indico qui in mons cumanorum baianis sum locum sudatio excavo in qui vapor fervidus ab imus nascor ignis vehemens perforo is terra per is mano in hic locus orior et ito sudatio egregius efficio utilitas non parvus etiam memoro antique cerno ardor et abundo sub vesuvio mons et indo evomo circo ager flamma ideo tunc qui spongius sive pumex pompeianus voco excoquo ex alius genus lapis in hic redigo sum video genus qualitas"
"96","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.3","is autem genus spongius qui indo eximo non in omnis locus nascor nitor circos aetnam et collis mysiae qui ab graecis κατακεκαύμενη nomino et si qui idem modus sum locus proprietas si ergo in hic locus aqua fervo invenio fons et mons excavo calidus vapor ipse locum ab antiquus memoro pervagor in ager habeo ardor video sum certus ab ignis vehemens ex tofus terra quemadmodum in fornacibus ex calcis ito ex hic eripio sum liquor"
"97","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.4","igitur dissimilis et dispar res corripio et in udus potestas confero calidus umor jejunitas aqua repo satio lateo calor confervesco et vehemens efficio is coeo celeriter communis corpus unus soliditas percipio virtus relinquo desideratio quoniam ito sum in etruria ex aqua calidus creber fons quis ito non etiam ibi nascor pulvis ex qui idem ratio sub aqua struo solidesco ito video sum antequam desidero de hic res quemadmodum sum video expono"
"98","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.5","omnis locus et regio non idem genus terra neque lapis nascor sed nonnullus sum terrenus alius sabulosus ito glareosus alius locus harenosum non parvus materio et omnino dissimilis dispar genus in regio varietas qualitas insum in terra magnus autem is sic licet considero qui qui mons appenninus regio italiae etruriaeque circo cingo prope in omnis locus non desum fossicius harenarium trans appenninum verus qui pars sum ad adriaticum mas nullus invenio ito achaia asia omnino trans mas neque nomino quidem igitur non in omnis locus qui effervo aqua calidus creber fons idem opportunitas possum similis concurro sed omnis utor natura res constituo non ad voluptas homo sed ut fortuitus disparo procreo"
"99","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.6.6","ergo qui locus non sum terrosus mons sed genus materia sum autem materia potestas mollis qui tofus solidus qui terra ignis vis per is vena egredior aduro is qui sum mollis et tener exuro qui autem asper relinquo qui penitus ab imus vehemens vapor aduro nonnullus locus procreo is genus harena qui dico carbunculus ito utor campaneus exuro terra cinis sic in etruria excoquo materio efficio carbunculus uter autem sum egregius in struo sed alius in terrenus aedificium alius etiam in maritimus moles habeo virtus"
"100","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.7.1","de calcis et harena qui varietas sum et qui habeo virtus dico sequor ordo de lapidicinis explicate de qui et quadro saxum et caementum ad aedificium eximo copia et comparo hic autem invenio sum dispar et dissimilis virtus sum enim alius mollis utor sum circo urbs rubrae pallenses fidenates albanae alius tempero utor tiburtinae amiterninae soractinae et qui sum hic genus nonnullus durus utor siliceus sum etiam alius genus multus utor in campaneus rubrus et nigrum tofus in umbria et piceno et in venetia albus qui etiam serra dentatus utor lignum sequor"
"101","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.7.2","sed hic omnis qui mollis sum hic habeo utilitas qui ex hic saxum cum sum eximo in opus facilis tracto et si sum in locus tego sustineo labor si autem in aperio et pateo gelicidium et pruina congero frio et dissolvo ito sequor ora maritimus ab salsugo ex-edo diffluo neque perfero aestus tiburtina verus et qui idem genus sum omnis suffero et ab onus et ab tempestas injuria sed ab ignis non possum sum tueor simul sum ab is tango dissiliunt et dissipo ideo qui tempero naturalis parvus sum umor ito non multus habeo terrenus sed aer multus et ignis igitur cum et umor et terrenus in hic parvus insum tum etiam ignis tango et vis vapor ex hic aer fugo penitus insequor intervenium vacuitas occupo fervesco et efficio ab suus ardeo corpus carbo similis"
"102","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.7.3","sum verus ito lapidicinae complures in finis tarquiniensium qui dico anicianae color quemadmodum albanae qui officina magnus sum circo lacus vulsiniensem ito praeficio statonensi hic autem habeo infinitus virtus neque enim hic gelicidium tempestas neque ignis tango possum noceo sed sum firmus et ad vetustas ideo permaneo qui parus habeo ex natura mixtione aer et ignis umor autem tempero multus terrenus ito spissus comparatio solido neque ab tempestas neque ab ignis vehemens noceo"
"103","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.7.4","is autem magnus judico licet ex monumentum qui sum circo municipium fero ex hic facio lapidicinis nam habeo et statuo amplus facio egregius et parvus sigillum flos et acanthus eleganter scalpo qui cum sum vetustus sic appareo recens utor si sum modus facio non parvus etiam faber aerarium de hic lapidicinis in aer flo forma comparo habeo ex hic ad a-edo fundo magnus utilitas qui si prope urbs sum dignus sum ut ex hic officina omnis opus perficio"
"104","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.7.5","cum ergo propter propinquitas necessitas cogo ex rubrus lapidicinis et pallensibus et qui sum urbs proximus copia utor si qui volo sinum vitium perficio ito sum praeparo cum aedifico sum ante biennium is saxum non hiems sed aestas eximo et jaceo permaneo in locus pateo qui autem is biennium ab tempestas tango laedo sum is in fundamentum co-jacio ceter qui non sum vitio ab natura res probo duro possum supra terra aedifico neque solus is in quadro lapis sum observo sed etiam in caementicius struo"
"105","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.1","struo genus sum hic reticulatus qui nunc omnis utor et antiquus qui incertus dico ex hic venustus sum reticulatus sed ad rima facio ideo paro qui in omnis pars dissolvo habeo cubile et coagmento incertus verus caementum alius super alius sedeo inter sequor imbrico non speciosus sed firmus qui reticulatus praesto struo"
"106","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.2","uter autem ex minuo sum instruo utor materio ex calcis et harena crebriter paries satio diu contineo mollis enim et rarus potestas cum sum exsicco sugo ex materio sucus cum autem supero et abundo copia calcis et harena pario multus habeo umor non cito fio evanidus sed ab hic contineo simul autem umidus potestas ex materio per caementum raritas sum exsugo calxque ab harena discedo et dissolvo ito caementum non possum cum hic cohaereo sed in vetustas paries efficio ruinosus"
"107","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.3","is autem licet animadverto etiam de nonnullus monumentum qui circo urbs facio sum ex marmor sive lapis quadro intrinsecus medius calceo struo vetustas evanidus facio materio caementum exsugo raritas proruo et coagmentum ab ruina dissolvo jungo dissipo"
"108","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.4","quodsi qui nolo in is vitium incido medius cavus servo sequor orthostata intrinsecus ex rubrus saxum quadro aut ex testa aut ex silex ordinarius struo bipedalis paries et cum hic ansa ferreus et plumbum frons vincio sum ito enim non acervatim sed ordo struo opus possum sum sinum vitium sempiternus qui cubile et coagmento is inter sui sedeo et jungo alligo non protrudo opus neque orthostata inter sui religo labor patior"
"109","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.5","ito non sum contemno graecorum struo non enim utor ex mollis caementum struo polio sed cum discedo ab quadro pono de silex sive lapis durus ordinarius et ito utor latericius struo alligo is alternus corius coagmento et sic magnus ad aeternitas firmus perficio virtus hic autem duo genus struo ex hic unus isodomum alter pseudisodomos appello"
"110","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.6","isodomum dico cum omnis corium aequus crassitudo sum struo pseudisodomos cum impar et inaequalis ordo corion dirigo is uter sum ideo firmus primus qui ipse caementum sum spissus et solidus proprietas neque de materio possum exsugo liquor sed conservo is in suus umor ad superus vetustas ipse is cubile primus planus et libro pono non patior ruo materia sed perpetuus paries crassitudo religo contineo ad superus vetustas"
"111","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.7","alter sum qui ἔμπλεκτον appello qui etiam nos rusticus utor qui frons polio reliquus ito utor sum nato cum materio con-loco alternus alligo coagmentum sed nos celeritas studens erigo con-loco frons servio et in medius farcio frango separatim cum materio caementum ito tres suscito in is struo crusta duo frons et unus medius farcio graeci verus non ito sed planus con-loco et longitudo is alternus in crassitudo instruo non medius farcio sed ex suus frontati perpetuus et unus crassitudo paries consolida praeterea interpono singulus crassitudo perpetuus uter pars frontati qui διάτονοι appello qui magnus religo confirmo paries soliditas"
"112","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.8","ito si qui volo ex hic commentarius animadverto et eligo genus struo perpetuitas possum ratio habeo non enim qui sum ex mollis caementum subtilis facies venustas non is possum sum in vetustas non ruinosus ito cum arbitrium communis paries sumo non aestimo is quantus facio sum sed cum ex tabula invenio is locatio pretio praetereo annus singulus deduco octogesimus et ito ex reliquus superus pro reor pars reddo pro hic paries sententia pronuntio is non possum multus qui annus lxxx duro"
"113","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.9","de latericius verus dum ad perpendiculum sum sto nihil deduco sed quantus sum olim facio tantus sum semper aestimo ito nonnullus civitas et publicus opus et privo domus etiam regius ex latus struo licet video et primus athenis murus qui specto ad hymettum mons et pentelensem ito pater in aedes io et herculis latericius cella cum circo lapideus in aedes epistylium sum et columna in italia arretio vetustus egregius facio murus trallibus domus rex attalicis facio qui ad habito semper do is qui civitas gero sacerdos ito lacedaemone ex quidam paries etiam pertaedet ex-caedo interseco latus includo sum in ligneus forma et in comitium ad orno aedilitas varronis et murena sum affero"
"114","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.10","croesi domus qui sardiani civis ad requiesco aetas otior seni collegium gerusia dedico ito halicarnasso potens rego mausoli domus cum proconnensio marmor omnis habeo orno paries habeo latus struo qui ad hic tempus egregius praesto firmitas ito tectorium opus expolio utor vitrum perluciditatem video habeo neque is rex ab inopia is facio infinitus enim vectigalis sum farcio qui impero cariae totus"
"115","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.11","acumen autem is et sollertia ad aedificium paro sic licet considero cum sum enim nascor mylasis et animadverto halicarnasso locus naturalis sum munitus idoneus portus emporium utilis ibi sui domus constituo is autem locus sum theatrum curvo similis ito in imus sequor portus forum sum constituo per medius autem altitudo curvo praecinctio platalea amplus latitudo facio in qui medius mausoleum ito egregius opus sum facio ut in septem spectaculum nomino in superus arx medius martes fanum habeo statuo colossicus acrolithus nobilis manus leocharis facio hic autem statuo alius leocharis alius timothei puto sum in cornus autem superus dexter venio et mercurii fanum ad ipse salmacidus fons"
"116","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.12","is autem fallo opinio puto venerio morbus implico is qui ex is bibo sed hic opinio quare per orbis terra fallo rumor sum pervagor non pigeo expono non enim qui dico mollis et impudicus ex is aqua fio is possum sum sed sum is fons potestas perlucida sapor egregius cum autem melas et areuanias ab argis et troezene colonia communis is locus deduco barbarus caveo et lelegas eicio hic autem ad mons fugo inter sui congrego discurro et ibi latrocinium facio crudeliter is vasto postea de colonus unus ad is fons propter bonitas aqua quaestus causa taberna omnis copia instruo is exerceo is barbarus allecto ito singillatim decurro et ad coitus convenio ex durus fero mos commuto in graecorum consuetudo et suavitas suus voluntas reduco ergo is aqua non impudicus morbus vitium sed humanitas dulcedo mollio animus barbarus is fama sum adipiscor"
"117","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.13","relinquo nunc quoniam ad explicatio moenia is sum inveho ut totus utor sum definio quemadmodum enim in dexter pars fanum sum venio et fons supra scribo ito in sinister cornus regius domus qui rex mausolus ad suus ratio con-loco conspicio enim ex is ad dexter pars forum et portus moenia totus finitio sub sinister secerno sub moenia lateo portus ito ut nemo possum quis in is gero aspicio neque scio at rex ipse de suus domus remex et miles sinum ullus scio qui opus sum impero"
"118","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.14","ito post mors mausoli artemisia uxor is regno rhodii indignor mulier impero civitas cariae totus armo classis proficiscor sum utor is regnum occupo tum artemisia cum sum is renuntio in is portus abstrudo classis celata remex et epibata comparo reliquus autem civis in murus sum jubeo cum autem rhodii orno classis in portus magnus expono plausus jubeo ab murus hic do polliceor sui oppidum trado qui cum penetro intro murus relinquo navis inanis artemisia repo fodio facio in pelagus educo classis ex portus parvus et ito inveho sum in magnus expono autem miles classis rhodiorum inanis abduco in alo ito rhodii non habeo qui sui recipio in medius concludo in ipse forum sum trucido"
"119","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.15","ito artemisia in navis rhodiorum suus miles et remex in-pono rhodum sum proficiscor rhodii autem cum prospicio suus navis laureatae venio opinor civis victor reverto hostis recipio tum artemisia rhodo capio princeps occido tropaeus in urbs rhodo suus victoria constituo aeneus duo statuo facio unus rhodiorum civitas alter suus imago et ira figuro rhodiorum civitas stigma in-pono is autem postea tollo rhodii religio impedio qui nefas sum tropaeus dedico removeo circo is locus aedificium struo et is eligo graia statio tego neo qui possum aspicio et is ἄβατον vocito jubeo"
"120","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.16","cum ergo tam magnus possum rego non contemno latericius paries struo qui ex vectigalis et praeda saepis liceo sum non modus caementicius aut quadro saxum sed etiam marmoreus habeo non puto oportet in-probo qui sum ex latericius struo facio aedificium dum rego sum tego sed is genus quis ito populus romano in urbs fio non oportet expono quisque sum is res causa et ratio non praetermitto"
"121","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.17","lego publicus non patior magnus crassitudo qui sesquipedalis constituo locus communis ceterum autem paries neo spatium angustus fio idem crassitudo con-loco latericius verus nitor diplinthius aut triplinthius sum sesquipedalis crassitudo non possum multus qui unus sustineo contignatio in is autem majestas urbs et civis infinitus frequens innumerabilis habitatio opus sum explicate ergo cum recipio non possum area plano tantus multitudo ad habito in urbs ad auxilium altitudo aedificium res ipse cogo devenio ito pila lapideus struo testaceus paries caementicius altitudo exstruo contignatio creber coaxo cenaculum ad superus utilitas perficio despectatio ergo moenia ex contignatio area alo spatium multiplico populus romanus egregius habeo sinum impeditio habitatio"
"122","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.18","quoniam ergo explicate ratio sum quis ito in urbs propter necessitas angustia non patior sum latericius paries cum extro urbs opus sum hic utor ut sum sinum vitium ad vetustas sic sum facio superus paries struo testaceus sub tegula subicio altitudo circiter sesquipedalis habeo proicio corona ito vito possum qui soleo in hic fio vitium cum enim in tego tegula sum frango aut ab venio deicio qui possum ex imber aqua perpluo non patior lorica testaceus laedo later sed proicio corona reicio extro perpendiculum stilla et is ratio servo integer paries latericius struo"
"123","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.19","de ipse autem testa si sum bonus sive vitiosus ad struo statim nemo possum judico qui in tempestas et aestas in tego cum sum con-loco tunc si sum firmus probo nam qui non sum ex cerno bonus aut parus sum coquo ibi sui ostendo sum vitiosus gelicidium et pruina tango ergo qui non in tego possum patior labor is non possum in struo onus fero sum firmus quare magnus ex vetus tegula tego et ex vetus testa struo paries firmitas possum habeo"
"124","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.8.20","craticius verus volo quidem neo invenio sum quantus enim celeritas et locus laxamentum prosum tantus magnus et communis sum calamitas qui ad incendium utor fax sum paro ito sero sum video impense testaceus in sumo qui compendium craticius sum in periculum etiam in tectorium opus rima hic facio arrectarius et transversarius dispositio cum enim linuntur recipio umor turgesco deinde siccesco contraho et ito extenuo disrumpo tectorium soliditas sed quoniam nonnullus celeritas aut inopia aut in pendeo locus dissaeptio cogo sic sum facio solus substruo alius ut sum intactus ab rudus et pavimentum obruo enim in hic cum sum vetustas marcidus fio deinde subsido proclino et disrumpo species tectorium de paries et apparitio generatim materia is qui sum virtus et vitium quemadmodum possum expono de contignatio autem et copia is qui comparo ut ad vetustas non sum infirmus utor natura res monstro explicate"
"125","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.1","materio caedo sum ab primus auctumnus ad is tempus qui sum antequam flo incipio favonius verus enim omnis arbor fio praegno et omnis suus proprietas virtus effero in frons anniversarius fructus cum ergo inanis et tumidus tempus necessitas is sum vanus fio et raritas imbecillus utor etiam corpus muliebris cum concipio fetus ab pario non judico integer neque in venalis is cum sum praegno praesto sano ideo qui in corpus praeseminatio cresco ex omnis cibus potestas detraho alimentum in sui et qui firmus efficio ad maturitas pario is parvus patior sum solidus is ipse ex qui procreo ito edo fetus qui prior in alius genus incrementum detraho cum disparatio procreatio sum libero inanis et pateo venio in sui recipio lambo sucus etiam solidesco et redeo in pristinus natura firmitas"
"126","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.2","idem ratio auctumnalis tempus maturitas fructus flaccesco frons ex terra recipio caudex arbor in sui sucus recipero et restituo in antiquus soliditas at verus aer hibernus vis comprimo et consolida is per is ut supra scribo sum tempus ergo si is ratio et is tempus qui sum supra scribo caedo materio sum tempestivus"
"127","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.3","caedo autem ito oportet utor incido arbor crassitudo ad medius medulla et relinquo utor per is exsiccesco stillo sucus ito qui insum in hic inutilis liquor effluo per torulus non patior emorior in is sanies neque corrumpo materia aequalitas tum autem cum siccus et sinum stilla sum arbor deicio et ito sum bonus in utor"
"128","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.4","hic autem ito sum licet animus adverto etiam de arbustus is enim cum suus quoque tempus ad imus perforo castro profundo ex medulla qui habeo in sui supero et vitiosus per foramen liquor et ito siccesco recipio in sui diuturnitas qui autem non habeo ex arbor exeo umor intro concresco putrescunt et efficio inanis is et vitiosus ergo si sto et vivus siccesco non senesco sinum dubius cum is ad materia deicio cum is ratio curo sum habeo possum magnus in aedificium ad vetustas utilitas"
"129","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.5","hic autem inter sui discrepo et dissimilis habeo virtus utor robur ulmus populus cupressus abies ceterus qui magnus in aedificium sum idoneus nam non possum is robur qui abies neque cupressus qui ulmus neque ceter idem habeo inter sui natura res similitas sed singulus genus principium proprietas comparo alius alius genus praesto in opus efficio"
"130","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.6","et primus abies aer habeo multus et ignis parvus umor et terrenus levis res natura ex potestas comparo non sum ponderosus ito rigor naturalis contineo non cito flecto ab onus sed dirigo permaneo in contignatio sed is qui habeo in sui multus calor procreo et alo cariem ab is vitio etiam ideo celeriter accendo qui qui insum in is corpus aer raritas ut sum pateo accipio ignis et ito vehemens ex sui mitto flamma"
"131","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.7","ex is autem aut nequam sum ex-caedo qui pars sum proximus terra per radix recipio ex proximitas umor enodis et liquidus efficio qui verus sum superus vehemens calor educo in aera per nodus ramus praecido alo circiter pedis xx et perdolo propter nodatio durities dico sum fusterna imus autem cum ex-caedo quadrifluvium disparo eicio torulus ex idem arbor ad intestinum opus comparo et ab infimus fusterna sapineus voco"
"132","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.8","contra verus quercus terrenus principium satietas abundo parus habeo umor et aer et ignis cum in terrenus opus obruo infinitus habeo aeternitas ex is cum tango umor non habeo foramen raritas propter spissitas non possum in corpus recipio liquor sed fugio ab umor resisto et torqueo et efficio in qui sum opus is rimosus"
"133","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.9","aesculus verus qui sum omnis principium tempero habeo in aedificium magnus utilitas sed is cum in umor con-loco recipio penitus per foramen liquor eicio aer et ignis operatio umidus potestas vitio cerrus quercus fagus qui pariter habeo mixtionem umor et ignis et terrenus aer multus per hic raritas umor penitus recipio celeriter marcesco populus albus et nigro ito salix tilia cum non sum durus terrenus mixtione propter raritas sum candidus et in sculpo commodus praesto tractabilitas vitex ignis et aer habeo satietas umor tempero parus autem terrenus habeo levis tempero comparo egregius habeo video in utor rigiditas"
"134","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.10","alnus autem qui proximus flumen ripa procreo et parvus materio utilis video habeo in sui egregius ratio etenim sum aer et ignis multus tempero non multus terrenus umor paulus ito in paluster locus infra fundamentum aedificium palatio creber figo recipio in sui qui parvus habeo in corpus liquor permaneo immortalis ad aeternitas et sustineo immanis pondus struo et sinum vitium conservo ito qui non possum extro terra paulum tempus duro is in umor obruo permaneo ad diuturnitas"
"135","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.11","sum autem magnus is considero ravennae qui ibi omnis opus et publicus et privo sub fundamentum is genus habeo palus ulmus verus et fraxinus magnus habeo umor parvus aer et ignis terrenus tempero is ex mixtione comparo sum in opus cum fabrico lentus et ab pondus umor non habeo rigor et celeriter pando simul autem vetustas sum aridus facio aut in ager perficio qui sum is liquor sto emorior fio durus et in committo et coagmentatio ab lentitudo firmus recipio catenationes"
"136","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.12","ito carpinus qui sum parvus ignis et terrenus mixtione aer autem et umor superus contineo tempero non sum fragilis sed habeo utilis tractabilitas ito graeci qui ex is materio jugus jumentum comparo qui apud is jugus ζυγά vocito ito ζυγίην is appello non parvus sum admiror de cupresso et pinus qui is habeo umor abundantia aequus ceterum mixtionem propter umor satietas in opus soleo sum pandus sed in vetustas sinum vitium conservo qui is liquor qui insum penitus in corpus is habeo amarus sapor qui propter acritudo non patior penetro cariem neque is bestiola qui sum noceo ideo qui ex hic genus opus constituo permaneo ad aeternus diuturnitas"
"137","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.13","ito cedrus et juniperus idem habeo virtus et utilitas sed quemadmodum ex cupressus et pinus resina ex cedrus oleum qui cedrium dico nascor qui reliquus res cum sum ungo utor etiam liber ab tinea et carie non laedo arbor autem is sum similis cupresseus foliatura materio vena dirigo ephesi in aedes simulacrum dianae ex is lacunaria et ibi et in ceterus nobilis fanum propter aeternitas sum facio nascor autem is arbor magnus cerno et africae et nonnullus syriae regio"
"138","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.14","larix verus qui non sum nosco nitor is municipalis qui sum circo ripa flumen padi et litus mas hadriani non solus ab sucus vehemens amaritas ab carie aut tinea non noceo sed etiam flamma ex ignis non recipio neque ipse per sui possum ardeo nitor utor saxum in fornace ad calcis coquo alius lignum uro neque tamen tunc flamma recipio neque carbo remitto sed longus spatium tardus comburo nam is materio qui sum parvus ignis et aer ex principium tempero umor autem et terrenus sum spissus solido non habeo spatium foramen qui possum ignis penetro reicio is vis neque patior ab is sui cito noceo propter pondus ab aqua non sustineo sed cum porto aut in navis aut supra abiegnus ratis con-loco"
"139","urn:cts:latinLit:phi1056.phi001.perseus-lat1:2.9.15","is autem materio quemadmodum sum invenio sum causa cognosco divus caesar cum exerceo habeo circo alpes impero municipium praesto commeatus ibi sum castellum munitus qui voco larignus tunc qui in is sum naturalis munitio confido nolo imperium pario ito imperator copia jubeo admoveo sum autem ante is castellum porta turris ex hic materio alternus trabs transverto utor pyra inter sui compono alo utor possum de superus sudis et lapis accedo repello tunc verus cum animadverto sum alius is telum praeter sudis non habeo neque possum longus ab murus propter pondus jaculor impero sum fasciculus ex virga alligo et fax ardeo ad is munitio accedo mitto"
