"","identifier","text"
"12","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.9","ito theatrum vasum aereus qui in cella sub gradus mathematicus ratio con-loco sono ex discrimen qui graeci ἠχεῖα appello ad symphonia musicus sive concentus compono divido in circinatio diatessaron et diapente et diapason ad disdiapason utor vox scaenicus sono convenio in dispositio tango cum offendo augeo cum incrementum clarus et suavis ad specto pervenio auris hydraulicus quoque machina et ceter qui sum similis hic organum sinum musicus ratio efficio nemo possum"
"13","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.10","disciplina verus medicinus nosco oportet propter inclinatio caelum qui graeci κλίματα dico et aer et locus qui sum saluber aut pestilens aqua utor sinum hic enim ratio nullus saluber habitatio fio possum jus quoque nosco habeo oportet is qui necessarius sum aedificium locus communis paries ad ambio stillicidium et cloaca lumen ito aqua ductio et ceter qui eiusmodi sum nosco oportet sum architectus utor ante caveo qui instituo aedificium neo controversia facio opus pater familia relinquo et ut lex scribo prudens caveo possum et locator et conductor nam si lex peritus sum scribo sum ut sinum captio uter ab utroque libero ex astrologia autem cognosco orior occido meridies septentriones etiam caelum ratio aequinoctium solstitium astrum curro qui notitia si quis non habeo horologium ratio omnino scio non possum"
"14","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.11","cum ergo tantus hic disciplina sum condecoro et abundo eruditio varius atque multus non puto possum sui justus repo profiteor architectus nitor qui ab aetas puerilis hic gradus disciplina scando scio plerus littera et ars nutrio pervenio ad superus templum architectura"
"15","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.12","at fortasse mira video imperitus homo possum natura tantus numerus doctrina perdisco et memoria contineo cum autem animadverto omnis disciplina inter sui conjunctio res et communicatio habeo fio possum facilis credo encyclios enim disciplina utor corpus unus ex hic membrum sum compono ito qui ab teneo aetas eruditio varius instruo omnis littera agnosco idem nosco communicatio omnis disciplina et is res facilis omnis cognosco ideo de vetus architectus pytheos qui prieni aedes minervae nobilis sum architectatus aio in suus commentarius architectus omnis ars et doctrina multus oportet possum facio qui qui singulus res suus industria et exercitatio ad superus claritas perduco is autem res non expedio"
"16","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.13","non enim debeo neque possum sum architectus grammaticus utor sum aristarchus sed non agrammatus neque musicus ut aristoxenus sed non amusos neque pictor ut a-pello sed graphidos non imperitus neque plastes quemadmodum myrus sive polyclitus sed ratio plastice non ignarus neque denuo medicus ut hippocrates sed non aniatrologetus neque in ceterus doctrina singularis excello sed in is non imperitus non enim in tantus res varietas elegantia singularis quisquam consequor possum qui is ratiocinatio cognosco et percipio vix cado in potestas"
"17","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.14","neque tamen non tantus architectus non possum in omnis res habeo superus efficio sed etiam ipse qui privatim proprietas teneo ars non efficio ut habeo omnis superus laus principor ergo si in singulus doctrina singulus artifex neque omnis sed paucus aevum perpetuus nobilitas vix sum con-sequor quemadmodum possum architectus qui multus ars debeo sum pereo non is ipse mira et magnus facio neo quis ex hic indigeo sed etiam ut omnis artifex supero qui singulus doctrina assiduitas cum industria superus praesto"
"18","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.15","igitur in hic res pytheos erro video qui non animadverto ex duo res singulus ars sum compono ex opus et is ratiocinatio ex hic autem unus proprius sum is qui singulus res sum exercito is sum opus efficio alter communis cum omnis doceo is sum ratio utor medicus et musicus et de vena rythmo et pedum moveo at si vulnus medeor aut aeger eripio de periculum oportet non accedo musicus sed is opus proprius sum medicus ito in organum non medicus sed musicus modulor ut auris suavis cantio recipio jucunditas"
"19","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.16","similis cum astrologus et musicus sum disputatio communis de sympathia stella et symphonia in quadro et trigonus diatessaron et diapente ab geometres divido qui graece λόγος ὀπτικός appello ceter omnis doctrina multus res vel omnis communis sum dumtaxat ad disputo opus verus ingredior qui manus aut tractatio ad elegantia perduco ipse sum qui proprius unus ars ad facio sum instituo ergo sero abundus video facio qui ex singulus doctrina pars et ratio is mediocris habeo nosco is qui necessarius sum ad architectura utor si quis de hic res et ars judico et probo opus sum neo deficio"
"20","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.17","qui verus natura tantus tribuo sollertia acumen memoria ut possum geometria astrologia musice ceterus disciplina penitus habeo nosco praetereo officium architectus et efficio mathematicus ito facilis contra is disciplina disputo possum qui multus telum disciplina sum armo hic autem invenio rarus ut aliquando sum aristarchus samius philolaus et archytas tarentini apollonius pergaeus eratosthenes cyrenaeus archimedes et scopinas ab syracusis qui multus res mechanica organicus gnomonice numerus naturalis ratio invenio atque explicate posterus relinquo"
"21","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.1.18","cum ergo talis ingenium ab naturalis sollertia non passim cunctus gens sed paucus vis habeo concedo officium verus architectus omnis eruditio debeo sum exercito et ratio propter amplitudo res permitto non juxta necessitas superus sed etiam mediocris scientia habeo disciplina peto caesar et ab tu et ab is qui is volumen sum lego ut si quis parus ad regula ars grammaticus sum explicate ignosco nam non utor superus philosophus neque rhetor dissero neque grammaticus superus ratio ars exercito sed ut architectus hic littera imbuo hic nitor sum scribo de ars verus potestas quisque insum in is ratiocinatio polliceor utor spero hic volumen non modus aedifico sed etiam omnis sapio cum magnus auctoritas ego sinum dubius prae-sto"
"22","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.1","architectura autem consto ex ordinatio qui graece τάξις dico et ex dispositio hic autem graeci διάθεσιν vocito et eurythmia et symmetria et decor et distributio qui graece οἰκονομία dico"
"23","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.2","ordinatio sum modicus membrum opus commoditas separatim universus proportio ad symmetria comparatio hic compono ex quantitas qui graece ποσότης dico quantitas autem sum modulus ex ipse opus ex singulus membrum pars sumptio universus opus convenio effectus dispositio autem sum res aptus collocatio elego compositio efficio opus cum qualitas species dispositio qui graece dico ἰδέαι sum hic ichnographia orthographia scaenographia ichnographia sum circini regula modicus contineo utor ex qui capio formus in solum area descriptio orthographia autem sum erigo frons imago modicus pertaedet ratio opus sum figura ito scaenographia sum frons et latus abscedo adumbratio ad circinique centrum omnis linea respondeo hic nascor ex cogitatio et inventio cogitatio sum curo studium plenus et industrius vigilantia efficio propono cum voluptas inventio autem sum quaestio obscurus explicatio ratio novus res vigor mobilis reperio hic sum terminatio dispositio"
"24","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.3","eurythmia sum venustus species commodus in compositio membrum aspicio hic efficio cum membrum opus convenio sum altitudo ad latitudo latitudo ad longitudo et ad superus omnis respondeo suus symmetria"
"25","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.4","ito symmetria sum ex ipse opus membrum convenio consentio ex pars separo ad universus figura species reor pars respondeo utor in homo corpus ex cubo pedis palmus digitus ceter particula symmetros sum eurythmia qualitas sic sum in opus perfectio et primus in aedes sacer aut ex columna crassitudo aut triglyphus aut etiam embatere ballista ex foramen capitulum qui graeci περίτρητον vocito navis interscalmium qui διάπηγμα dico ito ceterum opus ex membrum invenio symmetria ratiocinatio"
"26","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.5","decor autem sum emendo opus aspicio probo res compono cum auctoritas is perficio statio qui graece θεματισμῷ dico sive consuetudo aut natura statio cum iovi fulgurio et caelum et solus et luna aedificium sub divus hypaethrus constituo hic enim deus et species et efficio in aperio mundus atque luceo praesens video minervae et martes et herculi aedes doricae fio hic enim divus propter virtus sinum delicia aedificium constituo decet veneri florus proserpinae fons nympha corinthio genus constituo aptus video habeo proprietas qui hic divus propter teneritas gracilis et floridus folium et volvo orno opus facio augeo video justus decor iunoni dianae liber pater ceter divus qui idem sum similitudo si aedes ionicae construo habeo sum ratio mediocritas qui et ab sero mos doricorum et ab teneritas corinthiorum tempero is institutio proprietas"
"27","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.6","ad consuetudo autem decor sic exprimo cum aedificium interior magnificus ito vestibulum convenio et elego sum facio si enim interior prospicio habeo elego adeo autem humilis et inhonestus non sum cum decor ito si doricis epistylium in corona denticulus sculpo aut in pulvinatus columna ex ionicis epistylium capitulum exprimo triglyphus transfero ex alius ratio proprietas in alius genus opus offendo aspicio alius ante ordo consuetudo instituo"
"28","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.7","naturalis autem decor sic sum si primus omnis templum saluber regio aqua fons in is locus idoneus eligo in qui fanum constituo deinde magnus aesculapio salus ut is deus qui multus medicina aegrum curo video cum enim ex pestilens in saluber locus corpus aeger transfero sum et ex fons saluber aqua utor sub-ministro celer convalesco ito efficio utor ex natura locus magnus augeo cum dignitas divinitas excipio opinio ito natura decor sum si cubiculum et bybliothecis ab orior lumen capio balnea et hibernaculum ab occido hibernus pinacothece et qui certus lumen opus sum pars ab septentriones qui is caelum regio neque exclaro neque obscuro solum curro sed sum certus immutabilis dies perpetuus"
"29","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.8","distributio autem sum copia locus commodus dispensatio parcus in opus sumo ratio temperatio hic ito observo si primus architectus is non quaero qui non possum invenio aut paro nitor magnus nam non omnis locus harena fossicius neque caementum neque abies neque sapinus neque marmor copia sum sed alius alius locus nascor qui comportatio difficilis sum et sumptuosus utor autem sum ubi non sum harena fossicius fluviaticus aut marinus lota inopia quoque abies aut sapinus vito utor cupresso populus ulmus pinus reliquus hic similis sum explicate"
"30","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.2.9","alter gradus sum distributio cum ad utor pater familia et ad pecunia copia aut ad eloquentia dignitas aedificium aptus dispono nam aliter urbanus domus oportet constituo video aliter qui ex possessio rusticus influo fructus non ito faenerator aliter beo et delico possum verus qui cogitatio respublica guberno ad utor con-loco et omnino facio sum aptus omnis persona aedificium distributio"
"31","urn:cts:latinLit:phi1056.phi001.perseus-lat1:1.3.1","pars ipse architectura sum tres aedificatio gnomonicus machinatio aedificatio autem divido sum bipertito ex qui unus sum moenia et communis opus in publicus locus collocatio alter sum privo aedificium explicatio publicus autem distributio sum tres ex qui sum unus defensio alter religio tertius opportunitas defensio sum murus turris et porta ratio ad hostis impetus perpetuus repello excogito religio deus immortalis fanum aedes sacer collocatio opportunitas communis locus ad utor publicus dispositio utor portus forum porticus balnea theatrum ambulatio ceterus qui idem ratio in publicus locus designo"
